2.50	54.80	48.31
2.30	54.90	48.31
13.80	54.90	47.24
2.00	54.90	47.24
1.50	54.90	47.24
4.00	54.90	47.24
2.30	54.90	46.70
12.70	54.90	46.70
26.70	56.10	47.24
35.10	57.60	47.77
18.20	58.20	47.77
2.00	58.20	47.77
12.30	58.20	47.77
2.50	58.30	47.24
9.80	57.50	47.24
8.30	57.50	47.24
2.50	57.50	46.16
9.40	57.30	46.70
5.30	57.50	46.16
2.80	57.60	46.16
30.90	59.90	47.77
17.10	61.00	47.24
8.90	61.30	47.24
37.00	61.30	48.31
4.30	61.40	47.24
32.60	61.70	48.31
4.00	61.60	47.77
31.70	61.60	48.31
6.50	61.50	47.77
23.20	61.50	47.77
17.90	61.70	48.85
18.50	61.60	47.77
17.00	61.60	48.31
11.00	61.50	48.31
28.70	61.40	49.39
4.20	61.50	48.31
1.30	61.50	47.24
8.00	61.60	47.77
2.00	61.60	47.24
0.00	61.50	46.16
5.00	61.50	46.70
2.20	61.50	46.70
11.60	61.50	47.24
29.50	61.30	47.24
1.80	61.30	47.24
32.30	61.40	47.77
3.00	61.30	47.24
41.20	61.10	48.31
2.00	61.10	48.31
1.00	61.20	47.24
4.30	61.20	47.24
1.30	61.20	47.24
8.50	61.10	47.24
0.50	61.10	46.70
1.00	61.10	46.16
3.50	61.20	46.16
4.00	60.80	47.24
7.30	60.80	47.24
5.60	61.10	46.16
3.00	61.10	46.16
31.50	61.20	47.24
4.10	61.30	47.24
33.30	61.30	48.31
9.00	61.40	47.24
18.00	61.20	47.77
19.60	61.50	47.77
13.00	61.30	48.31
21.00	61.50	48.31
20.40	61.70	48.31
20.60	61.50	48.31
7.70	61.60	48.31
15.80	61.50	47.24
17.50	61.50	47.77
19.70	61.60	48.31
15.40	61.50	47.77
5.70	61.60	47.77
20.60	61.30	48.31
10.20	61.20	48.31
21.90	61.30	48.31
7.80	61.20	47.77
8.60	61.40	48.31
24.90	61.20	47.77
2.00	61.20	47.77
1.70	61.00	47.77
1.80	61.00	47.24
9.10	60.90	47.24
2.00	60.90	47.24
1.20	60.90	46.70
0.50	60.90	46.16
1.30	60.90	46.70
12.80	61.00	46.16
2.00	60.90	46.16
0.80	60.90	46.16
0.50	60.90	46.16
0.70	60.90	46.16
12.50	61.00	46.16
1.50	61.00	45.62
1.00	61.00	46.16
0.30	61.00	46.16
