Imagen	Tiempo de procesamiento (s)	FPS
1	1.149212121963501	0.8701613748134133
2	0.5313546657562256	1.8819821570152149
3	0.48432111740112305	2.0647458144423276
4	0.49278712272644043	2.0292738058318283
5	0.49504685401916504	2.020010816918122
6	0.5170166492462158	1.9341736894893995
7	0.48866963386535645	2.0463722946933323
8	0.49228620529174805	2.0313386587937416
9	0.5008881092071533	1.9964538618872023
10	0.4964461326599121	2.0143172324499603
11	0.48955392837524414	2.0426758770353444
12	0.5032410621643066	1.9871192459917015
13	0.5004329681396484	1.9982696258351724
14	0.5183658599853516	1.9291393920661728
15	0.5000827312469482	1.9996691297588223
16	0.5031707286834717	1.987397006611383
17	0.48999571800231934	2.040834160912538
18	0.49669480323791504	2.013308763210481
19	0.4882349967956543	2.048194018378694
20	0.4910140037536621	2.036601792118524
21	0.5017483234405518	1.9930310741107682
22	0.483295202255249	2.0691287547105772
23	0.49161577224731445	2.034108863978708
24	0.4837348461151123	2.067248220861133
25	0.5068905353546143	1.9728125310140434
26	0.5042352676391602	1.983201224067528
27	0.5065810680389404	1.974017710277185
28	0.5069284439086914	1.9726650023610064
29	0.4905996322631836	2.038321951826387
30	0.5001773834228516	1.9992907179383534
31	0.5086307525634766	1.9660627969505267
32	0.4998331069946289	2.0006677949220872
33	0.5203964710235596	1.9216118011582897
34	0.5021505355834961	1.9914346976410284
35	0.4822537899017334	2.0735969751606627
36	0.4856839179992676	2.058952258743531
37	0.4966855049133301	2.0133464538581545
38	0.5104794502258301	1.9589427146530811
39	0.4946575164794922	2.0216007372475833
40	0.5266156196594238	1.8989182292897546
41	0.4949204921722412	2.020526560965235
42	0.5112001895904541	1.9561808081510021
43	0.4925200939178467	2.0303740138707966
44	0.5052828788757324	1.9790894206133127
45	0.5075647830963135	1.9701918519635433
46	0.5094070434570312	1.9630666926268179
47	0.4920005798339844	2.0325179298313625
48	0.500868558883667	1.99653178915601
49	0.5015356540679932	1.9938761918298835
50	0.513451337814331	1.9476042350124514
51	0.4941823482513428	2.0235445550382076
52	0.5064096450805664	1.9746859281104463
53	0.4959096908569336	2.0164961855695878
54	0.5026168823242188	1.9895869700511544
55	0.5151100158691406	1.9413328593751158
56	0.4959678649902344	2.0162596623466524
57	0.48505473136901855	2.0616230196901695
58	0.4894077777862549	2.0432858760915367
59	0.4975249767303467	2.0099493427884516
60	0.5168237686157227	1.9348955305953364
61	0.48560571670532227	2.0592838296564477
62	0.48984551429748535	2.0414599517853205
63	0.49994587898254395	2.000216507505037
64	0.4887888431549072	2.045873210905265
65	0.5116610527038574	1.954418837852774
66	0.48146677017211914	2.076986537705418
67	0.5049324035644531	1.9804631133607826
68	0.5009610652923584	1.9961631138268299
69	0.4776139259338379	2.0937412954297447
70	0.5295393466949463	1.8884337986239836
71	0.491682767868042	2.03383170074486
72	0.4858510494232178	2.058243984832715
73	0.49249744415283203	2.0304673899783316
74	0.5002100467681885	1.999160165736192
75	0.5133635997772217	1.9479370965022806
76	0.49304652214050293	2.0282061734430634
77	0.49916720390319824	2.003336742038699
78	0.5025718212127686	1.9897653584852313
79	0.5192790031433105	1.9257470337656233
80	0.49507641792297363	2.0198901902768167
81	0.4976325035095215	2.00951503960767
82	0.4978969097137451	2.0084478945148065
83	0.49532270431518555	2.0188858521689657
84	0.4906132221221924	2.038265490836974
85	0.5122742652893066	1.9520793210942393
86	0.5066065788269043	1.973918306224122
87	0.5157694816589355	1.9388506601506776
88	0.4997239112854004	2.001104964995129
89	0.4911844730377197	2.035894974072616
90	0.49834775924682617	2.006630874615232
91	0.5195026397705078	1.9249180339906524
92	0.5035781860351562	1.985788955382168
93	0.49279284477233887	2.0292502429940544
94	0.4925830364227295	2.030114571671548
95	0.4857945442199707	2.058483389527722
96	0.4978151321411133	2.0087778282250666
97	0.5022642612457275	1.9909837851488312
98	0.4927656650543213	2.0293621713472314
99	0.49371981620788574	2.0254402743659368
100	0.5183274745941162	1.9292822569034458
101	0.49300265312194824	2.028386649985516
102	0.49071526527404785	2.0378416380455047
103	0.5042276382446289	1.9832312315947351
104	0.4968855381011963	2.0125359329663945
105	0.5331394672393799	1.8756818083231483
106	0.5016906261444092	1.9932602841021687
107	0.5003664493560791	1.9985352760699655
108	0.5080709457397461	1.968229060105002
109	0.4862678050994873	2.0564799674438787
110	0.4942054748535156	2.0234498622185515
111	0.49762463569641113	2.0095468115249746
112	0.4821293354034424	2.07413224329776
113	0.48642516136169434	2.0558147058030647
114	0.4869372844696045	2.053652558335614
115	0.49030327796936035	2.0395539759423986
116	0.4827151298522949	2.0716151994365455
117	0.49574708938598633	2.0171575817793754
118	0.4925398826599121	2.030292439669252
119	0.492053747177124	2.0322983124037286
120	0.4997067451477051	2.001173707800195
121	0.5059192180633545	1.97660014543028
122	0.49727559089660645	2.0109573409725634
123	0.498121976852417	2.0075404147371696
124	0.49471139907836914	2.021380550080242
125	0.5121462345123291	1.9525673188873687
126	0.49468302726745605	2.021496483361938
127	0.48999667167663574	2.0408301888628575
128	0.4895753860473633	2.0425863482917346
129	0.5011289119720459	1.9954945246818692
130	0.5004985332489014	1.9980078533071206
131	0.4921724796295166	2.0318080376065546
132	0.5082035064697266	1.9677156636454052
133	0.4919154644012451	2.0328696135161977
134	0.49764299392700195	2.009472678614034
135	0.5179405212402344	1.9307236236420549
136	0.5031881332397461	1.9873282653975979
137	0.5043597221374512	1.9827118544717452
138	0.4953279495239258	2.01886447344861
139	0.49997472763061523	2.0001010945873388
140	0.5040884017944336	1.9837790285200776
141	0.49499034881591797	2.0202414095388557
